Model,Cable size,Cable Type,Power supply,Input Power,MRP
1XHPD5.5,2.5,2,I,0.85,126500
1XHPD12.5,2.5,2,I,2.36,270250
1XHPD15,2.5,3,I,2.7,422500
1XHPD17,4,3,I,2.83,408800
1XHPD21,4,3,III,3.5,440450
1XHPD26,4,3,III,4.56,458850
1XHPD31,6,5,III,5.64,591360
1XHPC35,6,5,III,6.9,890400
1XHPC45,10,5,III,8.9,991200
1XHPC55,10,5,III,9.8,1084160
1XHPC70,16,5,III,14.5,1506400
2X HPC45,,,III,17.8,1982400
2X HPC55,,,III,19.6,2168320
2X HPC70,,,III,29,3012800
4X HPC45,,,III,35.6,3964800
4X HPC55,,,III,39.2,4336640
3X HPC70,,,III,43.5,4519200
Contact Aqvastar Office,,,,100000,Discuss model with Aqvastar
